Date,States,Action_Buckets,Bucket_Value
2021-01-23,Jharkhand,72,400
2021-01-23,Maharashtra,233,400
2021-01-23,Nagaland,5,400
2021-01-24,Assam,60,400
2021-01-24,Delhi,33,400
2021-01-24,Jharkhand,72,400
2021-01-24,Maharashtra,233,400
2021-01-24,Nagaland,5,400
2021-01-25,Assam,60,400
2021-01-25,Delhi,33,400
2021-01-25,Jharkhand,72,400
2021-01-25,Maharashtra,233,400
2021-01-25,Nagaland,5,400
2021-01-26,Assam,60,400
2021-01-26,Delhi,33,400
2021-01-26,Jharkhand,72,400
2021-01-26,Maharashtra,233,400
2021-01-26,Nagaland,5,400
2021-01-27,Assam,60,400
2021-01-27,Delhi,33,400
2021-01-27,Jharkhand,72,400
2021-01-27,Maharashtra,233,400
2021-01-27,Nagaland,5,400
2021-01-28,Assam,60,400
2021-01-28,Delhi,33,400
2021-01-28,Jharkhand,72,400
2021-01-28,Maharashtra,233,400
2021-01-28,Nagaland,5,400
2021-01-29,Assam,60,400
2021-01-29,Delhi,33,400
2021-01-29,Jharkhand,72,400
2021-01-29,Maharashtra,233,400
2021-01-29,Nagaland,5,400
2021-01-30,Assam,60,400
2021-01-30,Delhi,33,400
2021-01-30,Jharkhand,72,400
2021-01-30,Maharashtra,233,400
2021-01-30,Nagaland,5,400
2021-01-31,Assam,60,400
2021-01-31,Delhi,33,400
2021-01-31,Jharkhand,72,400
2021-01-31,Maharashtra,233,400
2021-01-31,Nagaland,5,400
2020-12-27,Assam,76,500
2020-12-27,Delhi,41,500
2020-12-27,Jharkhand,90,500
2020-12-27,Maharashtra,292,500
2020-12-27,Nagaland,7,500
2020-12-28,Assam,76,500
2020-12-28,Delhi,41,500
2020-12-28,Jharkhand,90,500
2020-12-28,Maharashtra,292,500
2020-12-28,Nagaland,7,500
2020-12-29,Assam,76,500
2020-12-29,Delhi,41,500
2020-12-29,Jharkhand,90,500
2020-12-29,Maharashtra,292,500
2020-12-29,Nagaland,7,500
2020-12-30,Assam,76,500
