"Date","State...UT","Confirmed.cases","Deceased.cases","Recovered.Cases","Susceptible","Death.Rate","Recovery.Rate","Overall.Hospital.Beds","Overall.ICU.Beds","Ventilators","Age.Distribution","Population","Action","Reward","Percentage.Distribution"
"2020-12-14","Maharashtra",2386299.29018401,24445.3605973089,1816489.63936778,109988033.709816,0.0719182670704078,5.34411372230125,231739,11587,5793,19912066,112374333,585,23.41,57.3238312874223
"2020-12-14","Nagaland",16302.13519729,165.224279358407,11313.5522222318,1962199.86480271,0.0506613349056602,3.46897962169261,2561,128,64,211983,1978502,15,75.67,1.02266410452354
"2020-12-15","Assam",301842.273827601,2973.30840931583,220974.769848741,30903733.7261724,0.0719769524118137,5.34929052222812,24178,1209,604,4127732,31205576,153,56.274,16.1146618622873
"2020-12-15","Delhi",639551.6878583,6898.57941709774,540326.441056063,16148389.3121417,0.101127341375383,7.92072876966461,39455,1973,986,2343806,16787941,84,99.913,8.42053053173159
"2020-12-15","Jharkhand",144537.852797002,1466.50926993696,111410.486429983,32843596.147203,0.0816794609359219,6.20517623772063,26496,1325,662,4528093,32988134,181,33.4948,17.1261974667309
"2020-12-15","Maharashtra",2457763.545854,25010.4184676742,1834274.40725737,109916569.454146,0.0672385733772076,4.93130470750488,231739,11587,5793,19912066,112374333,585,23.41,57.3156747178446
"2020-12-15","Nagaland",16777.6925126,169.405631266314,11481.5896571867,1961724.3074874,0.0489306166476225,3.31630806970006,2561,128,64,211983,1978502,15,75.67,1.02293542140562
"2020-12-16","Assam",316995.290041201,3073.46774850996,223201.372231878,30888580.7099588,0.0641402718624009,4.65799476892321,24178,1209,604,4127732,31205576,153,55.632,16.1157648381372
"2020-12-16","Delhi",647525.033214301,6973.05497423776,543813.768470315,16140415.9667857,0.0978000001242492,7.62721458821985,39455,1973,986,2343806,16787941,76,54.7,8.421078020803
"2020-12-16","Jharkhand",149907.829752501,1504.47439797268,112366.780750555,32838226.1702475,0.0739402628541288,5.52247968856375,26496,1325,662,4528093,32988134,181,35.545,17.1329701299823
"2020-12-16","Maharashtra",2535913.70179801,25628.5757926138,1853736.28697767,109838419.298202,0.0629643899745757,4.5542669022179,231739,11587,5793,19912066,112374333,585,21.327,57.3069430487568
"2020-12-16","Nagaland",17282.40952022,173.845067612048,11659.9751883831,1961219.59047978,0.0472997625700369,3.1724458194799,2561,128,64,211983,1978502,15,75.769,1.02324396232067
"2020-12-17","Assam",334562.755085699,3189.61747772526,225784.124221922,30871013.2449143,0.0573867759966915,4.06224979980143,24178,1209,604,4127732,31205576,153,55.568,16.1165187788649
"2020-12-17","Delhi",655854.4589829,7050.89652929451,547458.676273196,16132086.5410171,0.0946164310681752,7.3463829586874,39455,1973,986,2343806,16787941,76,54.65,8.42191584765708
"2020-12-17","Jharkhand",155992.342984501,1547.4955739626,113450.509862877,32832141.6570155,0.0671118616294821,4.92012710589866,26496,1325,662,4528093,32988134,181,36.081,17.1403453254911
"2020-12-17","Maharashtra",2621365.782574,26304.7464671054,1875032.43469062,109752967.217426,0.0590608726140296,4.20992659674254,231739,11587,5793,19912066,112374333,585,20.8369,57.2976255480434
"2020-12-17","Nagaland",17818.07074985,178.558093418518,11849.3477684569,1960683.92925015,0.0457633967291547,3.03691864383102,2561,128,64,211983,1978502,15,75.797,1.02359449994355
"2020-12-18","Assam",354926.505943902,3324.29665296967,228779.823267657,30850649.4940561,0.0515668369498548,3.54885651776021,24178,1209,604,4127732,31205576,153,55.54,16.1168217530004
"2020-12-18","Delhi",664555.627965501,7132.24667285116,551268.267133544,16123385.3720345,0.0915712726377944,7.07776092187098,39455,1973,986,2343806,16787941,76,54.62,8.42308775852777
"2020-12-18","Jharkhand",162886.210648399,1596.24449031284,114678.638011103,32825247.7893516,0.061087167115594,4.38867176506276,26496,1325,662,4528093,32988134,181,36.6688,17.1483802219781
"2020-12-18","Maharashtra",2714790.267773,27044.2904282437,1898334.4267173,109659542.732227,0.055496082160091,3.89546634961478,231739,11587,5793,19912066,112374333,585,20.324,57.2877178508463
"2020-12-18","Nagaland",18386.56385157,183.561209727313,12050.3840173461,1960115.43614843,0.0443163047083957,2.90926656432048,2561,128,64,211983,1978502,15,75.829,1.02399241564738
"2020-12-19","Assam",378527.7808857,3480.44307243572,232254.267477698,30827048.2191143,0.0465514843067133,3.10643807774992,24178,1209,604,4127732,31205576,153,55.5658,16.1165514403201
"2020-12-19","Delhi",673644.787035801,7217.25518694198,555249.925900311,16114296.2129642,0.0886590971330428,6.82086968499847,39455,1973,986,2343806,16787941,76,54.54,8.42464325467792
"2020-12-19","Jharkhand",170696.7451334,1651.48171645945,116070.380134348,32817437.2548666,0.0557716474269176,3.91977474109694,26496,1325,662,4528093,32988134,181,37.31498,17.1571378452507
"2020-12-19","Maharashtra",2816916.65097199,27853.0511214151,1923829.57464011,109557416.349028,0.052240779815147,3.60830692381021,231739,11587,5793,19912066,112374333,585,19.79,57.2772236805617
"2020-12-19","Nagaland",18989.8862705899,188.871953276927,12263.8007445701,1959512.11372941,0.0429534771066298,2.78904768750816,2561,128,64,211983,1978502,15,75.865,1.02444377918963
