Date,State,Susceptible,Infected People,Recovery,Death,Bucket_Value,Vaccine %,Amount of Vaccine
2021-01-05,Jharkhand,32332419.47,246201.0148,203150.0151,5093.942006,300,17.1371,171371
2021-01-05,Maharashtra,105387460.5,2409705.955,2985653.545,61162.98075,300,57.6613,576613
2021-01-05,Nagaland,1941306.324,12091.7203,18734.93991,349.4577932,300,0.8065,8065
2021-01-05,Assam,28958827.51,898296.9262,516078.5083,16033.67069,400,16.129,161290
2021-01-05,Delhi,15881257.1,171393.8631,658110.9853,9403.449218,400,8.2661,82661
2021-01-05,Jharkhand,32332419.47,246201.0148,203150.0151,5093.942006,400,17.1371,171371
2021-01-05,Maharashtra,105387460.5,2409705.955,2985653.545,61162.98075,400,57.6613,576613
2021-01-05,Nagaland,1941306.324,12091.7203,18734.93991,349.4577932,400,0.8065,8065
2021-01-05,Assam,28958827.51,898296.9262,516078.5083,16033.67069,500,16.129,161290
2021-01-05,Delhi,15881257.1,171393.8631,658110.9853,9403.449218,500,8.2661,82661
2021-01-05,Jharkhand,32332419.47,246201.0148,203150.0151,5093.942006,500,17.1371,171371
2021-01-05,Maharashtra,105387460.5,2409705.955,2985653.545,61162.98075,500,57.6613,576613
2021-01-05,Nagaland,1941306.324,12091.7203,18734.93991,349.4577932,500,0.8065,8065
2021-01-06,Assam,28652672.04,1034837.085,564330.7037,18128.51742,200,16.129,161290
2021-01-06,Delhi,15861571.9,178972.8823,666868.859,9588.647826,200,8.2661,82661
2021-01-06,Jharkhand,32260059.83,278586.8257,216253.2668,5609.616014,200,17.1371,171371
2021-01-06,Maharashtra,104903809.9,2627895.296,3111518.514,65063.256,200,57.6613,576613
2021-01-06,Nagaland,1939563.052,12828.04792,19357.75603,364.8653454,200,0.8065,8065
2021-01-06,Assam,28652672.04,1034837.085,564330.7037,18128.51742,300,16.129,161290
2021-01-06,Delhi,15861571.9,178972.8823,666868.859,9588.647826,300,8.2661,82661
2021-01-06,Jharkhand,32260059.83,278586.8257,216253.2668,5609.616014,300,17.1371,171371
2021-01-06,Maharashtra,104903809.9,2627895.296,3111518.514,65063.256,300,57.6613,576613
2021-01-06,Nagaland,1939563.052,12828.04792,19357.75603,364.8653454,300,0.8065,8065
2021-01-06,Assam,28652672.04,1034837.085,564330.7037,18128.51742,400,16.129,161290
2021-01-06,Delhi,15861571.9,178972.8823,666868.859,9588.647826,400,8.2661,82661
2021-01-06,Jharkhand,32260059.83,278586.8257,216253.2668,5609.616014,400,17.1371,171371
2021-01-06,Maharashtra,104903809.9,2627895.296,3111518.514,65063.256,400,57.6613,576613
2021-01-06,Nagaland,1939563.052,12828.04792,19357.75603,364.8653454,400,0.8065,8065
2021-01-06,Assam,28652672.04,1034837.085,564330.7037,18128.51742,500,16.129,161290
2021-01-06,Delhi,15861571.9,178972.8823,666868.859,9588.647826,500,8.2661,82661
2021-01-06,Jharkhand,32260059.83,278586.8257,216253.2668,5609.616014,500,17.1371,171371
2021-01-06,Maharashtra,104903809.9,2627895.296,3111518.514,65063.256,500,57.6613,576613
2021-01-06,Nagaland,1939563.052,12828.04792,19357.75603,364.8653454,500,0.8065,8065
2021-01-07,Assam,28304183.27,1190813.311,619886.3933,20526.48969,200,16.129,161290
2021-01-07,Delhi,15841043.03,186872.7826,676013.6636,9781.870345,200,8.2661,82661
2021-01-07,Jharkhand,32178385.99,315164.1718,231078.5354,6192.327348,200,17.1371,171371
2021-01-07,Maharashtra,104378993.7,2864777.92,3248754.591,69304.3478,200,57.6613,576613
2021-01-07,Nagaland,1937715.392,13608.37333,20018.47825,381.2013779,200,0.8065,8065
2021-01-07,Assam,28304183.27,1190813.311,619886.3933,20526.48969,300,16.129,161290
2021-01-07,Delhi,15841043.03,186872.7826,676013.6636,9781.870345,300,8.2661,82661
2021-01-07,Jharkhand,32178385.99,315164.1718,231078.5354,6192.327348,300,17.1371,171371
2021-01-07,Maharashtra,104378993.7,2864777.92,3248754.591,69304.3478,300,57.6613,576613
2021-01-07,Nagaland,1937715.392,13608.37333,20018.47825,381.2013779,300,0.8065,8065
2021-01-07,Assam,28304183.27,1190813.311,619886.3933,20526.48969,400,16.129,161290
2021-01-07,Delhi,15841043.03,186872.7826,676013.6636,9781.870345,400,8.2661,82661
2021-01-07,Jharkhand,32178385.99,315164.1718,231078.5354,6192.327348,400,17.1371,171371
2021-01-07,Maharashtra,104378993.7,2864777.92,3248754.591,69304.3478,400,57.6613,576613
2021-01-07,Nagaland,1937715.392,13608.37333,20018.47825,381.2013779,400,0.8065,8065
2021-01-07,Assam,28304183.27,1190813.311,619886.3933,20526.48969,500,16.129,161290
2021-01-07,Delhi,15841043.03,186872.7826,676013.6636,9781.870345,500,8.2661,82661
2021-01-07,Jharkhand,32178385.99,315164.1718,231078.5354,6192.327348,500,17.1371,171371
2021-01-07,Maharashtra,104378993.7,2864777.92,3248754.591,69304.3478,500,57.6613,576613
2021-01-07,Nagaland,1937715.392,13608.37333,20018.47825,381.2013779,500,0.8065,8065
2021-01-08,Assam,27908659.21,1368566.251,683775.2212,23265.79387,200,16.129,161290
2021-01-08,Delhi,15819637.19,195105.851,685561.7593,9983.441528,200,8.2661,82661
2021-01-08,Jharkhand,32086249.27,356456.3544,247848.2412,6850.529672,200,17.1371,171371
2021-01-08,Maharashtra,103809975,3121753.841,3398331.156,73913.11611,200,57.6613,576613
2021-01-08,Nagaland,1935757.328,14435.21964,20719.36898,398.5201407,200,0.8065,8065
2021-01-08,Assam,27908659.21,1368566.251,683775.2212,23265.79387,300,16.129,161290
2021-01-08,Delhi,15819637.19,195105.851,685561.7593,9983.441528,300,8.2661,82661
2021-01-08,Jharkhand,32086249.27,356456.3544,247848.2412,6850.529672,300,17.1371,171371
2021-01-08,Maharashtra,103809975,3121753.841,3398331.156,73913.11611,300,57.6613,576613
2021-01-08,Nagaland,1935757.328,14435.21964,20719.36898,398.5201407,300,0.8065,8065
2021-01-08,Assam,27908659.21,1368566.251,683775.2212,23265.79387,400,16.129,161290
2021-01-08,Delhi,15819637.19,195105.851,685561.7593,9983.441528,400,8.2661,82661
2021-01-08,Jharkhand,32086249.27,356456.3544,247848.2412,6850.529672,400,17.1371,171371
2021-01-08,Maharashtra,103809975,3121753.841,3398331.156,73913.11611,400,57.6613,576613
2021-01-08,Nagaland,1935757.328,14435.21964,20719.36898,398.5201407,400,0.8065,8065
2021-01-08,Assam,27908659.21,1368566.251,683775.2212,23265.79387,500,16.129,161290
2021-01-08,Delhi,15819637.19,195105.851,685561.7593,9983.441528,500,8.2661,82661
2021-01-08,Jharkhand,32086249.27,356456.3544,247848.2412,6850.529672,500,17.1371,171371
2021-01-08,Maharashtra,103809975,3121753.841,3398331.156,73913.11611,500,57.6613,576613
2021-01-08,Nagaland,1935757.328,14435.21964,20719.36898,398.5201407,500,0.8065,8065
2021-01-09,Assam,27461237.84,1570582.059,757147.6227,26387.65511,200,16.129,161290
2021-01-09,Delhi,15797320.12,203684.6894,695530.063,10193.69601,200,8.2661,82661
2021-01-09,Jharkhand,31982373.27,403046.6494,266812.447,7593.669897,200,17.1371,171371
2021-01-09,Maharashtra,103193580.4,3400289.668,3561289.27,78917.98842,200,57.6613,576613
2021-01-09,Nagaland,1933682.526,15311.24133,21462.82007,416.87884,200,0.8065,8065
2021-01-09,Assam,27461237.84,1570582.059,757147.6227,26387.65511,300,16.129,161290
2021-01-09,Delhi,15797320.12,203684.6894,695530.063,10193.69601,300,8.2661,82661
2021-01-09,Jharkhand,31982373.27,403046.6494,266812.447,7593.669897,300,17.1371,171371
2021-01-09,Maharashtra,103193580.4,3400289.668,3561289.27,78917.98842,300,57.6613,576613
2021-01-09,Nagaland,1933682.526,15311.24133,21462.82007,416.87884,300,0.8065,8065
2021-01-09,Assam,27461237.84,1570582.059,757147.6227,26387.65511,400,16.129,161290
2021-01-09,Delhi,15797320.12,203684.6894,695530.063,10193.69601,400,8.2661,82661
2021-01-09,Jharkhand,31982373.27,403046.6494,266812.447,7593.669897,400,17.1371,171371
2021-01-09,Maharashtra,103193580.4,3400289.668,3561289.27,78917.98842,400,57.6613,576613
2021-01-09,Nagaland,1933682.526,15311.24133,21462.82007,416.87884,400,0.8065,8065
2021-01-09,Assam,27461237.84,1570582.059,757147.6227,26387.65511,500,16.129,161290
2021-01-09,Delhi,15797320.12,203684.6894,695530.063,10193.69601,500,8.2661,82661
2021-01-09,Jharkhand,31982373.27,403046.6494,266812.447,7593.669897,500,17.1371,171371
2021-01-09,Maharashtra,103193580.4,3400289.668,3561289.27,78917.98842,500,57.6613,576613
2021-01-09,Nagaland,1933682.526,15311.24133,21462.82007,416.87884,500,0.8065,8065
2021-01-10,Assam,26957016.18,1799455.095,841281.2477,29935.9674,200,16.129,161290
2021-01-10,Delhi,15774056.41,212622.2886,705936.2026,10412.98088,200,8.2661,82661
2021-01-10,Jharkhand,31865343.62,455583.6758,288251.9903,8432.284544,200,17.1371,171371
2021-01-10,Maharashtra,102526510.5,3701914.094,3738744.896,84348.94515,200,57.6613,576613
2021-01-10,Nagaland,1931484.323,16239.22934,22251.3595,436.3377722,200,0.8065,8065
2021-01-10,Assam,26957016.18,1799455.095,841281.2477,29935.9674,300,16.129,161290
